post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47738343,The Physics of GPS,science,162,35,maouida,2026-04-14 22:11:10,0.2147239263803681,True
47701769,The Bra-and-Girdle Maker That Fashioned the Impossible for NASA,science,135,19,sohkamyung,2026-04-14 22:12:29,0.13970588235294118,False
47708818,Native Instant Space Switching on macOS,science,642,326,PaulHoule,2026-04-14 22:12:53,0.5069984447900466,True
47728323,Relics of the Heroic Age of Manned Space Flight,science,20,1,zdgeier,2026-04-14 22:13:45,0.047619047619047616,False
47745543,New metal with triple copper's heat conduction challenges fundamental physics,science,30,13,thunderbong,2026-04-14 22:14:16,0.41935483870967744,False
47759281,NASA Moon Base User's Guide [pdf],science,6,1,sethbannon,2026-04-14 22:14:57,0.14285714285714285,False
47753472,Nothing Ever Happens: Polymarket bot that always buys No on non-sports markets,sports,459,256,m-hodges,2026-04-14 22:18:20,0.5565217391304348,True
47713495,Team from ETH Zurich make high quality quantum swap gate using a geometric phase,sports,237,56,joko42,2026-04-14 22:20:32,0.23529411764705882,True
47723243,Combining spicy foods with mint boosts anti-inflammatory effects 100x or more,sports,87,50,joeax,2026-04-14 22:24:45,0.5681818181818182,False
47717514,"Inflation Rose to 3.3% in March, Driven by Rising Fuel Costs",sports,63,3,JumpCrisscross,2026-04-14 22:25:22,0.046875,False
